repo_name,repo_url,clone_url,stars,forks,last_pushed,description,quality_label
pallets/flask,https://github.com/pallets/flask,https://github.com/pallets/flask.git,71135,16693,2026-02-03T18:22:23Z,The Python micro framework for building web applications.,1
PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR.git,70162,9784,2026-02-04T03:37:43Z,"Turn any PDF or image document into structured data for your AI. A powerful, lightweight OCR toolkit that bridges the gap between images/PDFs and LLMs. Supports 100+ languages.",1
binary-husky/gpt_academic,https://github.com/binary-husky/gpt_academic,https://github.com/binary-husky/gpt_academic.git,70080,8407,2026-01-25T12:33:10Z,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。",1
vllm-project/vllm,https://github.com/vllm-project/vllm,https://github.com/vllm-project/vllm.git,69452,13176,2026-02-04T15:25:37Z,A high-throughput and memory-efficient inference and serving engine for LLMs,1
ansible/ansible,https://github.com/ansible/ansible,https://github.com/ansible/ansible.git,67891,24219,2026-02-04T13:28:20Z,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",1
github/spec-kit,https://github.com/github/spec-kit,https://github.com/github/spec-kit.git,67522,5829,2025-12-04T19:58:26Z,💫 Toolkit to help you get started with Spec-Driven Development,1
OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,https://github.com/OpenHands/OpenHands.git,67492,8401,2026-02-04T14:45:50Z,🙌 OpenHands: AI-Driven Development,1
hiyouga/LlamaFactory,https://github.com/hiyouga/LlamaFactory,https://github.com/hiyouga/LlamaFactory.git,66874,8138,2026-02-04T15:27:13Z,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024),1
xtekky/gpt4free,https://github.com/xtekky/gpt4free,https://github.com/xtekky/gpt4free.git,65717,13683,2026-02-03T13:44:44Z,"The official gpt4free repository | various collection of powerful language models | o4, o3 and deepseek r1, gpt-4.1, gemini 2.5",1
labmlai/annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations.git,65629,6606,2026-01-22T04:26:00Z,"🧑‍🏫 60+ Implementations/tutorials of deep learning papers with side-by-side notes 📝; including transformers (original, xl, switch, feedback, vit, ...), optimizers (adam, adabelief, sophia, ...), gans(cyclegan, stylegan2, ...), 🎮 reinforcement learning (ppo, dqn), capsnet, distillation, ... 🧠",1
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn.git,64895,26665,2026-02-04T15:30:27Z,scikit-learn: machine learning in Python,1
localstack/localstack,https://github.com/localstack/localstack,https://github.com/localstack/localstack.git,64287,4516,2026-02-04T15:26:43Z,💻 A fully functional local AWS cloud stack. Develop and test your cloud & Serverless apps offline,1
FoundationAgents/MetaGPT,https://github.com/FoundationAgents/MetaGPT,https://github.com/FoundationAgents/MetaGPT.git,63881,8033,2026-01-21T10:12:33Z,"🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",1
keras-team/keras,https://github.com/keras-team/keras,https://github.com/keras-team/keras.git,63756,19685,2026-02-03T17:45:48Z,Deep Learning for humans,1
anthropics/skills,https://github.com/anthropics/skills,https://github.com/anthropics/skills.git,62911,6171,2026-02-04T02:20:55Z,Public repository for Agent Skills,1
openinterpreter/open-interpreter,https://github.com/openinterpreter/open-interpreter,https://github.com/openinterpreter/open-interpreter.git,61992,5330,2025-12-05T18:57:03Z,A natural language interface for computers,1
commaai/openpilot,https://github.com/commaai/openpilot,https://github.com/commaai/openpilot.git,59986,10610,2026-02-04T15:19:08Z,"openpilot is an operating system for robotics. Currently, it upgrades the driver assistance system on 300+ supported cars.",1
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB.git,59827,5832,2026-02-03T23:15:19Z,"Financial data platform for analysts, quants and AI agents.",1
scrapy/scrapy,https://github.com/scrapy/scrapy,https://github.com/scrapy/scrapy.git,59647,11228,2026-02-03T19:13:30Z,"Scrapy, a fast high-level web crawling & scraping framework for Python.",1
unclecode/crawl4ai,https://github.com/unclecode/crawl4ai,https://github.com/unclecode/crawl4ai.git,59437,6070,2026-02-04T02:00:58Z,"🚀🤖 Crawl4AI: Open-source LLM Friendly Web Crawler & Scraper. Don't be shy, join here: https://discord.gg/jP8KfhDhyN",1
CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning,https://github.com/CorentinJ/Real-Time-Voice-Cloning.git,59305,9414,2025-12-15T12:47:13Z,Clone a voice in 5 seconds to generate arbitrary speech in real-time,1
pathwaycom/pathway,https://github.com/pathwaycom/pathway,https://github.com/pathwaycom/pathway.git,59261,1585,2026-02-04T11:58:34Z,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG.",1
Asabeneh/30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python.git,57232,10951,2026-01-23T07:32:40Z,The 30 Days of Python programming challenge is a step-by-step guide to learn the Python programming language in 30 days. This challenge may take more than 100 days. Follow your own pace. These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw,1
ultralytics/yolov5,https://github.com/ultralytics/yolov5,https://github.com/ultralytics/yolov5.git,56792,17436,2026-02-03T10:29:51Z,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite,1
Textualize/rich,https://github.com/Textualize/rich,https://github.com/Textualize/rich.git,55352,2014,2026-02-01T16:21:51Z,Rich is a Python library for rich text and beautiful formatting in the terminal.,1
deepfakes/faceswap,https://github.com/deepfakes/faceswap,https://github.com/deepfakes/faceswap.git,54944,13433,2026-01-05T12:30:09Z,Deepfakes Software For All,1
RVC-Boss/GPT-SoVITS,https://github.com/RVC-Boss/GPT-SoVITS,https://github.com/RVC-Boss/GPT-SoVITS.git,54729,5987,2025-12-30T08:00:21Z,1 min voice data can also be used to train a good TTS model! (few shot voice cloning),1
microsoft/autogen,https://github.com/microsoft/autogen,https://github.com/microsoft/autogen.git,54260,8177,2026-01-22T16:27:56Z,A programming framework for agentic AI,1
FoundationAgents/OpenManus,https://github.com/FoundationAgents/OpenManus,https://github.com/FoundationAgents/OpenManus.git,54147,9507,2026-01-05T07:18:09Z,"No fortress, purely open ground.  OpenManus is Coming.",1
opendatalab/MinerU,https://github.com/opendatalab/MinerU,https://github.com/opendatalab/MinerU.git,53799,4463,2026-02-02T12:09:03Z,Transforms complex documents like PDFs into LLM-ready markdown/JSON for your Agentic workflows.,1
psf/requests,https://github.com/psf/requests,https://github.com/psf/requests.git,53708,9731,2026-02-02T22:32:17Z,"A simple, yet elegant, HTTP library.",1
ultralytics/ultralytics,https://github.com/ultralytics/ultralytics,https://github.com/ultralytics/ultralytics.git,52915,10131,2026-02-04T15:06:37Z,Ultralytics YOLO 🚀,1
karpathy/nanoGPT,https://github.com/karpathy/nanoGPT,https://github.com/karpathy/nanoGPT.git,52622,8887,2025-11-12T19:52:34Z,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",1
docling-project/docling,https://github.com/docling-project/docling,https://github.com/docling-project/docling.git,52088,3561,2026-02-04T11:41:11Z,Get your documents ready for gen AI,1
unslothai/unsloth,https://github.com/unslothai/unsloth,https://github.com/unslothai/unsloth.git,51580,4263,2026-02-04T13:48:15Z,"Fine-tuning & Reinforcement Learning for LLMs. 🦥 Train OpenAI gpt-oss, DeepSeek, Qwen, Llama, Gemma, TTS 2x faster with 70% less VRAM.",1
Zie619/n8n-workflows,https://github.com/Zie619/n8n-workflows,https://github.com/Zie619/n8n-workflows.git,50875,6285,2026-01-26T16:38:00Z,all of the workflows of n8n i could find (also from the site itself),1
charlax/professional-programming,https://github.com/charlax/professional-programming,https://github.com/charlax/professional-programming.git,50337,3958,2026-01-12T00:12:02Z,A collection of learning resources for curious software engineers,1
harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo,https://github.com/harry0703/MoneyPrinterTurbo.git,49341,7008,2025-12-14T04:02:56Z,利用AI大模型，一键生成高清短视频 Generate short videos with one click using AI LLM.,1
odoo/odoo,https://github.com/odoo/odoo,https://github.com/odoo/odoo.git,48845,31358,2026-02-04T15:32:11Z,Odoo. Open Source Apps To Grow Your Business.,1
pandas-dev/pandas,https://github.com/pandas-dev/pandas,https://github.com/pandas-dev/pandas.git,47781,19608,2026-02-04T02:24:45Z,"Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more",1
lllyasviel/Fooocus,https://github.com/lllyasviel/Fooocus,https://github.com/lllyasviel/Fooocus.git,47658,7781,2025-12-01T19:17:07Z,Focus on prompting and generating,1
run-llama/llama_index,https://github.com/run-llama/llama_index,https://github.com/run-llama/llama_index.git,46790,6778,2026-02-04T03:04:22Z,LlamaIndex is the leading framework for building LLM-powered agents over your data.,1
mem0ai/mem0,https://github.com/mem0ai/mem0,https://github.com/mem0ai/mem0.git,46576,5121,2026-02-03T05:37:18Z,Universal memory layer for AI Agents,1
freqtrade/freqtrade,https://github.com/freqtrade/freqtrade,https://github.com/freqtrade/freqtrade.git,46503,9714,2026-02-04T06:14:38Z,"Free, open source crypto trading bot",1
oobabooga/text-generation-webui,https://github.com/oobabooga/text-generation-webui,https://github.com/oobabooga/text-generation-webui.git,45996,5889,2026-02-03T01:57:51Z,"The definitive Web UI for local AI, with powerful features and easy setup.",1
virattt/ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,https://github.com/virattt/ai-hedge-fund.git,45598,7993,2026-02-02T20:45:33Z,An AI Hedge Fund Team,1
sansan0/TrendRadar,https://github.com/sansan0/TrendRadar,https://github.com/sansan0/TrendRadar.git,45484,22019,2026-02-02T13:51:58Z,"⭐AI-driven public opinion & trend monitor with multi-platform aggregation, RSS, and smart alerts.🎯 告别信息过载，你的 AI 舆情监控助手与热点筛选工具！聚合多平台热点 +  RSS 订阅，支持关键词精准筛选。AI 翻译 +  AI 分析简报直推手机，也支持接入 MCP 架构，赋能 AI 自然语言对话分析、情感洞察与趋势预测等。支持 Docker ，数据本地/云端自持。集成微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 等渠道智能推送。",1
apache/airflow,https://github.com/apache/airflow,https://github.com/apache/airflow.git,44133,16419,2026-02-04T15:17:12Z,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",1
NanmiCoder/MediaCrawler,https://github.com/NanmiCoder/MediaCrawler,https://github.com/NanmiCoder/MediaCrawler.git,43611,9608,2026-02-04T10:03:23Z,小红书笔记 | 评论爬虫、抖音视频 | 评论爬虫、快手视频 | 评论爬虫、B 站视频 ｜ 评论爬虫、微博帖子 ｜ 评论爬虫、百度贴吧帖子 ｜ 百度贴吧评论回复爬虫  | 知乎问答文章｜评论爬虫,1
crewAIInc/crewAI,https://github.com/crewAIInc/crewAI,https://github.com/crewAIInc/crewAI.git,43609,5852,2026-02-04T14:58:50Z,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",1
streamlit/streamlit,https://github.com/streamlit/streamlit,https://github.com/streamlit/streamlit.git,43345,4067,2026-02-04T15:31:30Z,Streamlit — A faster way to build and share data apps.,1
SimplifyJobs/Summer2026-Internships,https://github.com/SimplifyJobs/Summer2026-Internships,https://github.com/SimplifyJobs/Summer2026-Internships.git,43301,3165,2026-02-04T15:31:34Z,Collection of Summer 2026 tech internships!,1
getsentry/sentry,https://github.com/getsentry/sentry,https://github.com/getsentry/sentry.git,43077,4593,2026-02-04T15:29:09Z,Developer-first error tracking and performance monitoring,1
faif/python-patterns,https://github.com/faif/python-patterns,https://github.com/faif/python-patterns.git,42722,7064,2026-01-21T18:49:51Z,A collection of design patterns/idioms in Python,1
karpathy/nanochat,https://github.com/karpathy/nanochat,https://github.com/karpathy/nanochat.git,42204,5443,2026-02-04T02:12:05Z,The best ChatGPT that $100 can buy.,1
mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy,https://github.com/mitmproxy/mitmproxy.git,42173,4437,2026-02-02T09:08:37Z,An interactive TLS-capable intercepting HTTP proxy for penetration testers and software developers.,1
9001/copyparty,https://github.com/9001/copyparty,https://github.com/9001/copyparty.git,42116,1723,2026-02-04T00:39:32Z,"Portable file server with accelerated resumable uploads, dedup, WebDAV, SFTP, FTP, TFTP, zeroconf, media indexer, thumbnails++ all in one file",1
mingrammer/diagrams,https://github.com/mingrammer/diagrams,https://github.com/mingrammer/diagrams.git,41982,2716,2026-01-22T00:06:50Z,:art: Diagram as Code for prototyping cloud system architectures,1
hiroi-sora/Umi-OCR,https://github.com/hiroi-sora/Umi-OCR,https://github.com/hiroi-sora/Umi-OCR.git,41915,4149,2025-11-20T14:58:13Z,"OCR software, free and offline. 开源、免费的离线OCR软件。支持截屏/批量导入图片，PDF文档识别，排除水印/页眉页脚，扫描/生成二维码。内置多国语言库。",1
gradio-app/gradio,https://github.com/gradio-app/gradio,https://github.com/gradio-app/gradio.git,41562,3249,2026-02-02T17:04:38Z,"Build and share delightful machine learning apps, all in Python. 🌟 Star to support our work!",1
deepspeedai/DeepSpeed,https://github.com/deepspeedai/DeepSpeed,https://github.com/deepspeedai/DeepSpeed.git,41530,4703,2026-02-03T22:26:43Z,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",1
psf/black,https://github.com/psf/black,https://github.com/psf/black.git,41349,2717,2026-01-31T16:09:46Z,The uncompromising Python code formatter,1
hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI,https://github.com/hpcaitech/ColossalAI.git,41337,4538,2026-01-19T17:40:36Z,"Making large AI models cheaper, faster and more accessible",1
ray-project/ray,https://github.com/ray-project/ray,https://github.com/ray-project/ray.git,41138,7184,2026-02-04T13:39:30Z,Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads.,1
exo-explore/exo,https://github.com/exo-explore/exo,https://github.com/exo-explore/exo.git,41020,2779,2026-02-04T15:24:09Z,Run frontier AI locally.,1
zhayujie/chatgpt-on-wechat,https://github.com/zhayujie/chatgpt-on-wechat,https://github.com/zhayujie/chatgpt-on-wechat.git,41003,9705,2026-02-04T14:51:54Z,CowAgent是基于大模型的超级AI助理，能主动思考和任务规划、访问操作系统和外部资源、创造和执行Skills、拥有长期记忆并不断成长。同时支持飞书、钉钉、企业微信应用、微信公众号、网页等接入，可选择OpenAI/Claude/Gemini/DeepSeek/ Qwen/GLM/Kimi/LinkAI，能处理文本、语音、图片和文件，可快速搭建个人AI助手和企业数字员工。,1
chubin/cheat.sh,https://github.com/chubin/cheat.sh,https://github.com/chubin/cheat.sh.git,40855,1900,2025-12-23T18:48:24Z,the only cheat sheet you need,1
ccxt/ccxt,https://github.com/ccxt/ccxt,https://github.com/ccxt/ccxt.git,40816,8502,2026-02-04T15:00:27Z,A cryptocurrency trading API with more than 100 exchanges in JavaScript / TypeScript / Python / C# / PHP / Go ,1
Aider-AI/aider,https://github.com/Aider-AI/aider,https://github.com/Aider-AI/aider.git,40342,3868,2026-01-19T15:39:28Z,aider is AI pair programming in your terminal,1
jingyaogong/minimind,https://github.com/jingyaogong/minimind,https://github.com/jingyaogong/minimind.git,38726,4654,2026-01-30T12:30:57Z,🚀🚀 「大模型」2小时完全从0训练26M的小参数GPT！🌏 Train a 26M-parameter GPT from scratch in just 2h!,1
2noise/ChatTTS,https://github.com/2noise/ChatTTS,https://github.com/2noise/ChatTTS.git,38653,4205,2026-01-18T05:30:01Z,A generative speech model for daily dialogue.,1
mthbernardes/fses,https://github.com/mthbernardes/fses,https://github.com/mthbernardes/fses.git,49,15,2017-09-06T07:02:00Z,Fucking Search Engines Scraper - python library to scrap url's from search engines,0
BorjaMerino/tlsInjector,https://github.com/BorjaMerino/tlsInjector,https://github.com/BorjaMerino/tlsInjector.git,49,20,2015-06-22T09:15:33Z,Python script to inject and run shellcodes through TLS callbacks,0
schvarcz/quadtree-X-occupancy-grid,https://github.com/schvarcz/quadtree-X-occupancy-grid,https://github.com/schvarcz/quadtree-X-occupancy-grid.git,49,9,2018-03-30T11:42:00Z,Quadtree x Occupancy grid (map representation and path planning),0
Pylons/pyramid_beaker,https://github.com/Pylons/pyramid_beaker,https://github.com/Pylons/pyramid_beaker.git,49,23,2024-04-05T06:17:07Z,Beaker sessioning bindings for Pyramid,0
astooke/accel_rl,https://github.com/astooke/accel_rl,https://github.com/astooke/accel_rl.git,49,11,2019-03-20T02:56:14Z,Accelerated Methods for Deep Reinforcement Learning,0
blackredscarf/pytorch-SkipGram,https://github.com/blackredscarf/pytorch-SkipGram,https://github.com/blackredscarf/pytorch-SkipGram.git,49,9,2018-08-31T09:05:39Z,Implementing Skip-gram Negative Sampling with pytorch,0
hatching/roach,https://github.com/hatching/roach,https://github.com/hatching/roach.git,49,21,2021-12-08T13:13:44Z,Cockroach is your primitive & immortal swiss army knife.,0
jacky-xbb/blockchain-py,https://github.com/jacky-xbb/blockchain-py,https://github.com/jacky-xbb/blockchain-py.git,49,21,2019-10-14T10:07:35Z,A python imlementation of blockchain_go,0
facebookresearch/binary-image-selection,https://github.com/facebookresearch/binary-image-selection,https://github.com/facebookresearch/binary-image-selection.git,49,9,2021-09-15T21:12:49Z,BISON: Binary Image SelectiON,0
cjlin1/simpleNN,https://github.com/cjlin1/simpleNN,https://github.com/cjlin1/simpleNN.git,49,11,2021-05-13T12:33:16Z,,0
OS-ABC/AIOsp-Fault-Diagnosis,https://github.com/OS-ABC/AIOsp-Fault-Diagnosis,https://github.com/OS-ABC/AIOsp-Fault-Diagnosis.git,49,19,2021-05-25T04:39:57Z,,0
hui-po-wang/hijackgan,https://github.com/hui-po-wang/hijackgan,https://github.com/hui-po-wang/hijackgan.git,49,1,2021-06-13T11:46:36Z,"[CVPR 2021] Pytorch implementation of Hijack-GAN: Unintended-Use of Pretrained, Black-Box GANs",0
GZQ0723/YoloV4,https://github.com/GZQ0723/YoloV4,https://github.com/GZQ0723/YoloV4.git,49,28,2020-04-25T13:10:07Z,object detection \ yolov4,0
JindongJiang/SCALOR,https://github.com/JindongJiang/SCALOR,https://github.com/JindongJiang/SCALOR.git,49,14,2023-12-24T04:10:37Z,"Official Release of ICLR 2020 paper ""SCALOR: Generative World Models with Scalable Object Representations""",0
alexdotpink/haveibeenfacebooked-api,https://github.com/alexdotpink/haveibeenfacebooked-api,https://github.com/alexdotpink/haveibeenfacebooked-api.git,49,4,2021-04-08T12:19:13Z,,0
jiushill/wmi-hack-py,https://github.com/jiushill/wmi-hack-py,https://github.com/jiushill/wmi-hack-py.git,49,4,2023-05-08T09:11:35Z,,0
hongyixu37/omniavatar-proj,https://github.com/hongyixu37/omniavatar-proj,https://github.com/hongyixu37/omniavatar-proj.git,49,1,2023-05-28T01:04:03Z,,0
datacorruption/Rave-Strategies,https://github.com/datacorruption/Rave-Strategies,https://github.com/datacorruption/Rave-Strategies.git,49,5,2021-07-13T00:35:04Z,,0
apurv-r/discord-together,https://github.com/apurv-r/discord-together,https://github.com/apurv-r/discord-together.git,49,10,2022-07-28T11:05:08Z,"An unofficial module that allows the use of the Discord's BETA feature, Party Games - like YouTube together or Poker Night.   ",0
zhangzhenyu13/llm3s-conatiner,https://github.com/zhangzhenyu13/llm3s-conatiner,https://github.com/zhangzhenyu13/llm3s-conatiner.git,49,12,2023-08-14T09:07:16Z,large language model training-3-stages+deployment,0
ShineChen1024/MiaoBi,https://github.com/ShineChen1024/MiaoBi,https://github.com/ShineChen1024/MiaoBi.git,49,4,2024-03-11T10:34:14Z,"Chinese Stable Diffusion, zh SD,中文文生图，中文SD，中文Stable Diffusion",0
guybuk/ANCOR,https://github.com/guybuk/ANCOR,https://github.com/guybuk/ANCOR.git,49,5,2021-05-25T19:37:13Z,Fine-grained Angular Contrastive Learning with Coarse Labels - Official Repository,0
johnman3032/simple-lora-dreambooth-trainer,https://github.com/johnman3032/simple-lora-dreambooth-trainer,https://github.com/johnman3032/simple-lora-dreambooth-trainer.git,49,2,2023-11-28T08:17:37Z,A collection of simple training GUIs for SD1.5 and SDXL.,0
LA30/Cas-Gnn,https://github.com/LA30/Cas-Gnn,https://github.com/LA30/Cas-Gnn.git,49,9,2022-01-28T06:59:59Z,Cascade Graph Neural Networks for RGB-D Salient Object Detection (ECCV20),0
RafayKhattak/csvGPT,https://github.com/RafayKhattak/csvGPT,https://github.com/RafayKhattak/csvGPT.git,49,14,2024-02-04T13:25:12Z,"csvGPT is an web app tool that enables users to upload CSV files, visualize the data, and have interactive conversations with an AI model. ",0
FizzleDorf/AIT,https://github.com/FizzleDorf/AIT,https://github.com/FizzleDorf/AIT.git,49,12,2023-10-12T06:35:20Z,This was orginally written by: https://github.com/hlky,0
brdevstreamers/brdevstreamers-api,https://github.com/brdevstreamers/brdevstreamers-api,https://github.com/brdevstreamers/brdevstreamers-api.git,49,12,2023-07-17T12:15:48Z,,0
akleber/fronius-json-tools,https://github.com/akleber/fronius-json-tools,https://github.com/akleber/fronius-json-tools.git,49,12,2022-09-05T15:26:36Z,Python tools to work with the json data of the Fronius Solar API,0
